"Timer Banner", "Banner Temporizador"
"General", "Geral"
"Enable", "Ativar"
"TimerBanner Settings - NEX", "TimerBanner Configurações - NEX"
"TimerBanner Setting - NEX", "TimerBanner Configurações - NEX"
"TimerBanner (nex)", "Banner Temporizador (nex)"
"Manage Items", "Gerenciar Itens"
"reports", "Relatórios"
"All Banners", "Todos Banners"
"Per Banner", "Por Banner"

"Items Manager", "Gerenciar Itens"
"Item Manager", "Gerenciar Item"
"Item News", "Novo Item"
"Item does not exist", "Item não encontrado"
"Item was successfully saved", "O item foi salvo com sucesso"
"Item was successfully deleted", "O item foi deletado com sucesso"

"model", "modelo"
"models exemples", "exemplo de modelos"

"FINISHED", "FINALIZADO"
"Product not found", "Produto não encontrado"
"The TimerBanner not configured.", "Banner não configurado."
"Item Manager", "Gerenciar Item"
"Add Item", "Novo Item"
"Save Item", "Salvar Item"
"Delete Item", "Deletar Item"
"Banner Information", "Informações do Banner"
"Item Information", "Informações do Item"
"Report - Totals", "Relatório - Totais"
"Report", "Relatório"
"ID", "ID"
"ID Show", "ID de exibição"
"Image", "Imagem"
"Title", "Titulo"
"Name", "Nome"
"Store", "Loja"
"Select Store", "Selecionar Loja"
"Start Time", "Data de Inicio"
"Start date", "Data de Inicio"
"End Time", "Data Final"
"End date", "Data Final"
"Status", "Status"
"Active", "Ativo"
"Inactive", "Inativo"
"Image File", "Arquivo de Imagem"
"Background Imagem", "Imagem de Fundo"
"Background Color", "Cor de Fundo"
"Product ID", "ID do Produto"
"Product Name", "Nome do Produto"
"If not given, will be shown the name of the registered product", "Caso náo informado, será utilizado o nome atual do produto informado"
"Template", "Template"
"Width", "Largura do Banner"
"Height", "Altura do Banner"
"End date promotion", "Data Final da Promoção"
"Text time end", "Texto de Encerramento"
"Url", "Url"
"Target", "Target"
"IP", "IP"
"Date of click", "Data do clique"
"URL to click", "URL para clique"
"Total of Clicks", "Total de cliques"
"D : H : M : S", "Dia : Hora : Minutos : Segundos"
"for:", "por:"
"of:", "de:"
"BUY", "COMPRAR"
